kingdom,phylum,classname,ordername,family
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,METZGERIALES,Metzgeriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,Misodendraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Molluginaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,Monimiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Montiniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,URTICALES,Moraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,Morinaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,Moringaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,Musaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Myoporaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRICALES,Myricaceae
